iter	Passed	Remaining
0	0	63
1	1	75
2	2	80
3	2	70
4	3	65
5	3	62
6	4	59
7	5	57
8	5	56
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	9	53
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	14	47
24	15	47
25	17	48
26	17	48
27	18	47
28	19	46
29	19	45
30	20	46
31	21	45
32	22	44
33	22	43
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	24
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	63	0
99	63	0
